Color Option,Item Code,Description,Price with ParticleBoard Box,Price with Plywood Box,Concatenated,UV Birch Plywood,White Plywood
A TOUCH OF NATURE,B9FD-L/R,Base Cabinet Full Door - 1 Door,$159.08 ,$175.29 ,A TOUCH OF NATURE - B9FD-L/R,$159.08 ,$175.29 
A TOUCH OF NATURE,B12FD-L/R,Base Cabinet Full Door - 1 Door,$171.30 ,$188.72 ,A TOUCH OF NATURE - B12FD-L/R,$171.30 ,$188.72 
A TOUCH OF NATURE,B15FD-L/R,Base Cabinet Full Door - 1 Door,$183.51 ,$202.16 ,A TOUCH OF NATURE - B15FD-L/R,$183.51 ,$202.16 
A TOUCH OF NATURE,B18FD-L/R,Base Cabinet Full Door - 1 Door,$195.73 ,$215.59 ,A TOUCH OF NATURE - B18FD-L/R,$195.73 ,$215.59 
A TOUCH OF NATURE,B21FD-L/R,Base Cabinet Full Door - 1 Door,$207.95 ,$229.03 ,A TOUCH OF NATURE - B21FD-L/R,$207.95 ,$229.03 
A TOUCH OF NATURE,B24FD-L/R,Base Cabinet Full Door - 1 Door,$220.17 ,$242.46 ,A TOUCH OF NATURE - B24FD-L/R,$220.17 ,$242.46 
A TOUCH OF NATURE,B24FD,Base Cabinet Full Door - 2 Door,$248.30 ,$270.60 ,A TOUCH OF NATURE - B24FD,$248.30 ,$270.60 
A TOUCH OF NATURE,B27FD,Base Cabinet Full Door - 2 Door,$260.52 ,$284.03 ,A TOUCH OF NATURE - B27FD,$260.52 ,$284.03 
A TOUCH OF NATURE,B30FD,Base Cabinet Full Door - 2 Door,$272.74 ,$297.47 ,A TOUCH OF NATURE - B30FD,$272.74 ,$297.47 
A TOUCH OF NATURE,B33FD,Base Cabinet Full Door - 2 Door,$284.95 ,$310.91 ,A TOUCH OF NATURE - B33FD,$284.95 ,$310.91 
A TOUCH OF NATURE,B36FD,Base Cabinet Full Door - 2 Door,$297.17 ,$324.34 ,A TOUCH OF NATURE - B36FD,$297.17 ,$324.34 
A TOUCH OF NATURE,B39FD,Base Cabinet Full Door - 2 Door,$309.39 ,$337.78 ,A TOUCH OF NATURE - B39FD,$309.39 ,$337.78 
A TOUCH OF NATURE,B42FD,Base Cabinet Full Door - 2 Door,$321.60 ,$351.21 ,A TOUCH OF NATURE - B42FD,$321.60 ,$351.21 
A TOUCH OF NATURE,B9-L/R,Base Cabinet- 1 Door 1Drawer,$220.15 ,$239.14 ,A TOUCH OF NATURE - B9-L/R,$220.15 ,$239.14 
A TOUCH OF NATURE,B12-L/R,Base Cabinet- 1 Door 1Drawer,$236.53 ,$257.02 ,A TOUCH OF NATURE - B12-L/R,$236.53 ,$257.02 
A TOUCH OF NATURE,B15-L/R,Base Cabinet- 1 Door 1Drawer,$252.91 ,$274.89 ,A TOUCH OF NATURE - B15-L/R,$252.91 ,$274.89 
A TOUCH OF NATURE,B18-L/R,Base Cabinet- 1 Door 1Drawer,$269.29 ,$292.77 ,A TOUCH OF NATURE - B18-L/R,$269.29 ,$292.77 
A TOUCH OF NATURE,B21-L/R,Base Cabinet- 1 Door 1Drawer,$285.67 ,$310.65 ,A TOUCH OF NATURE - B21-L/R,$285.67 ,$310.65 
A TOUCH OF NATURE,B24-L/R,Base Cabinet- 1 Door 1Drawer,$302.05 ,$328.52 ,A TOUCH OF NATURE - B24-L/R,$302.05 ,$328.52 
A TOUCH OF NATURE,B24,Base Cabinet- 2Door 1Drawer,$330.18 ,$356.66 ,A TOUCH OF NATURE - B24,$330.18 ,$356.66 
A TOUCH OF NATURE,B27,Base Cabinet- 2Door 1Drawer,$346.56 ,$374.53 ,A TOUCH OF NATURE - B27,$346.56 ,$374.53 
